"Name","Website","StreetAddress","LatLon"
"Bolt Coffee","https://www.boltcoffeeco.com/risd","224 Benefit St, Providence, RI 02903","41.8269, -71.4075"
"Ceremony","https://www.ceremonypvd.com/","406 Brook Street, Providence, RI 02906","41.8287, -71.3996"
"Coffee Exchange","https://www.thecoffeeexchange.com/","207 Wickenden St.  Providence, RI 02903","41.8194, -71.3991"
"Brown Bee Coffee","https://www.brownbeecoffee.com/","404 Benefit Street, Providence RI 02903","41.8203, -71.4017"
"Small Point Cafe","https://www.smallpointcafe.com/","230 Westminster Street Providence, RI 02903","41.8230, -71.4125"
"Seven Stars Bakery","https://sevenstarsbakery.com/","103 Point St, Providence, RI","41.8165, -71.4076"
